state,honey_colonies,yield_per_col,production,stocks,avg_price_per_lb,prod_value,state_code,year
Indiana,8.0,52.0,416.0,158.0,361.0,1502.0,IN,2017
Iowa,35.0,58.0,2030.0,1035.0,226.0,4588.0,IA,2017
Kansas,7.0,79.0,553.0,260.0,403.0,2229.0,KS,2017
Kentucky,5.0,38.0,190.0,42.0,413.0,785.0,KY,2017
Louisiana,43.0,81.0,3483.0,279.0,193.0,6722.0,LA,2017
Maine,12.0,33.0,396.0,51.0,500.0,1980.0,ME,2017
Michigan,87.0,45.0,3915.0,822.0,242.0,9474.0,MI,2017
Minnesota,126.0,62.0,7812.0,1016.0,193.0,15077.0,MN,2017
Mississippi,18.0,86.0,1548.0,124.0,182.0,2817.0,MS,2017
Missouri,8.0,65.0,520.0,57.0,370.0,1924.0,MO,2017
Montana,145.0,72.0,10440.0,2506.0,221.0,23072.0,MT,2017
Nebraska,42.0,63.0,2646.0,423.0,191.0,5054.0,NE,2017
New Jersey,13.0,28.0,364.0,167.0,874.0,3181.0,NJ,2017
New York,57.0,56.0,3192.0,766.0,303.0,9672.0,NY,2017
North Carolina,11.0,41.0,451.0,99.0,458.0,2066.0,NC,2017
North Dakota,455.0,74.0,33670.0,4377.0,191.0,64310.0,ND,2017
Ohio,15.0,73.0,1095.0,657.0,324.0,3548.0,OH,2017
Oregon,78.0,40.0,3120.0,998.0,210.0,6552.0,OR,2017
Pennsylvania,16.0,46.0,736.0,177.0,351.0,2583.0,PA,2017
South Carolina,16.0,34.0,544.0,27.0,270.0,1469.0,SC,2017
South Dakota,255.0,57.0,14535.0,6541.0,207.0,30087.0,SD,2017
Tennessee,7.0,41.0,287.0,75.0,457.0,1312.0,TN,2017
Texas,120.0,66.0,7920.0,2297.0,217.0,17186.0,TX,2017
Utah,27.0,31.0,837.0,67.0,208.0,1741.0,UT,2017
Vermont,7.0,54.0,378.0,144.0,402.0,1520.0,VT,2017
Virginia,6.0,35.0,210.0,46.0,577.0,1212.0,VA,2017
Washington,77.0,45.0,3465.0,1594.0,244.0,8455.0,WA,2017
West Virginia,6.0,40.0,240.0,50.0,393.0,943.0,WV,2017
Wisconsin,53.0,56.0,2968.0,683.0,282.0,8370.0,WI,2017
Alabama,6.0,45.0,270.0,14.0,357.0,964.0,AL,2018
Arizona,24.0,38.0,912.0,109.0,282.0,2572.0,AZ,2018
Arkansas,28.0,50.0,1400.0,84.0,187.0,2618.0,AR,2018
California,335.0,41.0,13735.0,3022.0,206.0,28294.0,CA,2018
Colorado,31.0,48.0,1488.0,283.0,202.0,3006.0,CO,2018
Florida,215.0,49.0,10535.0,737.0,240.0,25284.0,FL,2018
Georgia,98.0,34.0,3332.0,200.0,279.0,9296.0,GA,2018
Hawaii,17.0,103.0,1751.0,18.0,183.0,3204.0,HI,2018
Idaho,96.0,31.0,2976.0,655.0,196.0,5833.0,ID,2018
Illinois,11.0,41.0,451.0,108.0,501.0,2260.0,IL,2018
Indiana,7.0,46.0,322.0,106.0,375.0,1208.0,IN,2018
Iowa,38.0,49.0,1862.0,1005.0,235.0,4376.0,IA,2018
Kansas,5.0,73.0,365.0,95.0,300.0,1095.0,KS,2018
Kentucky,4.0,41.0,164.0,34.0,542.0,889.0,KY,2018
Louisiana,45.0,83.0,3735.0,261.0,190.0,7097.0,LA,2018
Maine,12.0,32.0,384.0,92.0,268.0,1029.0,ME,2018
Michigan,92.0,44.0,4048.0,729.0,237.0,9594.0,MI,2018
Minnesota,119.0,61.0,7259.0,1161.0,188.0,13647.0,MN,2018
Mississippi,20.0,87.0,1740.0,70.0,205.0,3567.0,MS,2018
Missouri,9.0,45.0,405.0,36.0,258.0,1045.0,MO,2018
Montana,160.0,92.0,14720.0,3680.0,192.0,28262.0,MT,2018
Nebraska,40.0,59.0,2360.0,850.0,199.0,4696.0,NE,2018
New Jersey,13.0,31.0,403.0,165.0,735.0,2962.0,NJ,2018
New York,56.0,48.0,2688.0,833.0,334.0,8978.0,NY,2018
North Carolina,10.0,33.0,330.0,63.0,555.0,1832.0,NC,2018
North Dakota,530.0,72.0,38160.0,4579.0,188.0,71741.0,ND,2018
Ohio,14.0,73.0,1022.0,491.0,361.0,3689.0,OH,2018
Oregon,93.0,35.0,3255.0,1009.0,222.0,7226.0,OR,2018
Pennsylvania,19.0,44.0,836.0,309.0,373.0,3118.0,PA,2018
South Carolina,16.0,48.0,768.0,15.0,304.0,2335.0,SC,2018
South Dakota,255.0,47.0,11985.0,5154.0,198.0,23730.0,SD,2018
Tennessee,7.0,46.0,322.0,84.0,399.0,1285.0,TN,2018
Texas,132.0,56.0,7392.0,1035.0,206.0,15228.0,TX,2018
Utah,26.0,41.0,1066.0,75.0,209.0,2228.0,UT,2018
Vermont,7.0,48.0,336.0,94.0,366.0,1230.0,VT,2018
Virginia,4.0,40.0,160.0,35.0,683.0,1093.0,VA,2018
Washington,77.0,43.0,3311.0,563.0,211.0,6986.0,WA,2018
West Virginia,6.0,37.0,222.0,38.0,416.0,924.0,WV,2018
Wisconsin,51.0,45.0,2295.0,711.0,276.0,6334.0,WI,2018
